feed_id,agency,country,n_bus_trips,n_travel_times,n_distinct_travel_times,median_travel_time_s,temporal_resolution_s,share_travel_times_whole_minute,share_stop_times_whole_minute,timepoint_status,approximate_share,share_timepoints_whole_minute,share_approx_whole_minute,interpolation_basis,n_approx_testable,share_approx_on_line,n_timepoints_testable,share_timepoints_on_line,n_control_modes,has_control_baseline,bus_peak_to_peak_s,segregated_peak_to_peak_s,bus_exceeds_own_control
mdb-718,Cornwall Transit,CA,239,9249,107,30.0,1.0,0.016974808087360797,0.0582780061123406,declared,0.8397091368953525,0.21104536489151873,0.029116465863453816,distance,7736,0.033221302998965876,962,0.009355509355509356,0,False,0.0,,
mdb-719,Muncie Indiana Transit System (MITS),US,399,32054,73,10.0,1.0,0.019997504211642852,0.21973259566620562,not_declared,,,,,0,,0,,0,False,0.34361329833770776,,
mdb-720,Transit Windsor,CA,1213,47109,16,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,0.07511086474501108,,
mdb-721,Grand River Transit,CA,4337,103321,12,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,1,True,7.000206611570248,0.0,True
mdb-724,Burlington Transit,CA,1118,30407,6,60.0,60.0,1.0,1.0,declared,0.8292357696474706,1.0,1.0,distance,0,,0,,0,False,6.993811743811744,,
mdb-725,Oakville Transit,CA,1378,41587,219,48.0,1.0,0.017192872772741483,0.23693704177819155,not_declared,,,,,0,,0,,0,False,4.925299564270153,,
mdb-726,Durham Region Transit,CA,2484,94752,317,51.0,1.0,0.017624957784532252,0.18580257704924777,declared,0.8212519153049577,0.9788862041192038,0.013185409649265598,stopcount,78808,0.03769921835346665,367,0.0,0,False,5.550916380840097,,
mdb-728,York Region Transit,CA,4705,185513,431,51.0,1.0,0.029361823699686814,0.19528646079761117,declared,0.8200328044664543,0.9997663073642392,0.018732570439465333,distance,123838,0.40028908735606195,6,0.16666666666666666,0,False,9.127467635732534,,
mdb-730,MiWay,CA,8043,246158,34,60.0,60.0,1.0,1.0,declared,0.8248520940118325,1.0,1.0,stopcount,0,,0,,0,False,8.785531457313358,,
mdb-732,Toronto Transit Commission (TTC),CA,31661,966077,473,53.0,1.0,0.016416910867353224,0.08484652898741002,not_declared,,,,,0,,0,,2,True,10.746281056945039,11.850796559039182,False
mdb-733,Kingston Transit,CA,1504,30048,8,60.0,60.0,1.0,1.0,declared,0.8600042959939856,1.0,1.0,distance,0,,0,,0,False,8.557738170708882,,
mdb-734,Halifax Transit,CA,3980,140885,464,45.0,1.0,0.01877417752067289,0.15205142175355352,declared,0.8642454671475962,1.0,0.018856782616328713,distance,88626,0.2922392977230158,0,,0,False,9.516786217723718,,
mdb-736,Thunder Bay Transit,CA,1093,17091,8,60.0,60.0,1.0,1.0,declared,0.8373184124556892,1.0,1.0,distance,0,,0,,0,False,1.2903225806451613,,
mdb-737,Greater Sudbury Transit,CA,1213,23460,6,60.0,60.0,1.0,1.0,declared,0.8490372474747475,1.0,1.0,distance,0,,0,,0,False,1.950503355704698,,
mdb-740,Société de transport de l'Outaouais,CA,2531,73927,20,60.0,60.0,1.0,1.0,declared,0.7608642328604718,1.0,1.0,stopcount,0,,0,,0,False,6.940519382668143,,
mdb-741,Exo Sorel-Varennes,CA,259,7949,315,42.0,1.0,0.04918857717951944,0.2387914230019493,declared,0.7709551656920078,1.0,0.012642225031605562,distance,6248,1.0,0,,0,False,15.796428571428569,,
mdb-742,Exo Sud-ouest,CA,342,15675,271,44.0,1.0,0.0379585326953748,0.23855903102953113,declared,0.7772366860211026,1.0,0.020322917503413928,distance,12196,0.9494916366021646,0,,0,False,6.333333333333334,,
mdb-743,Exo La Presqu'île,CA,502,11748,193,41.0,1.0,0.0449438202247191,0.2522448979591837,declared,0.7577959183673469,1.0,0.013250026930949047,distance,9160,1.0,0,,0,False,4.55625,,
mdb-744,Exo Laurentides,CA,1086,58061,312,40.0,1.0,0.014519212552315667,0.16597917230186637,declared,0.8437922639978361,1.0,0.011580381471389645,distance,49334,0.9685206956662747,0,,0,False,6.329097607202085,,
mdb-745,Exo Haut-Saint-Laurent,CA,66,2730,130,35.0,1.0,0.0663003663003663,0.24070100143061515,declared,0.7600143061516452,1.0,0.0009411764705882353,distance,2123,0.90390956194065,0,,0,False,9.027777777777779,,
mdb-75,El Dorado Transit,US,117,1115,17,120.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,0,False,,,
mdb-750,Exo Chambly-Richelieu-Carignan,CA,374,7476,229,46.0,1.0,0.05952380952380952,0.27961783439490445,declared,0.7298089171974522,1.0,0.012916739396055157,distance,5655,0.9998231653404067,0,,0,False,8.695652173913043,,
mdb-751,Réseau de transport de Longueuil,CA,4332,158454,488,39.0,1.0,0.02297827760738132,0.18439546398338924,declared,0.8274851645718919,1.0,0.014357512453323238,distance,132765,0.9487741498135804,0,,0,False,6.414100876288969,,
mdb-752,Exo Vallée du Richelieu,CA,277,10018,224,48.0,1.0,0.043022559393092435,0.29150072850898495,declared,0.7130645944633317,1.0,0.006402397493529492,distance,7294,0.9993145050726625,0,,0,False,10.032127039627039,,
mdb-753,Exo Ville de Sainte-Julie,CA,276,4757,132,44.0,1.0,0.02964052974563801,0.21974965229485396,declared,0.7911782237234254,1.0,0.013812154696132596,distance,3927,1.0,0,,0,False,8.094484126984126,,
mdb-754,Terrebonne-Mascouche,CA,726,25190,306,37.0,1.0,0.03695911075823739,0.22925023141005862,declared,0.7821274298056156,1.0,0.01454706839587751,distance,19984,0.9660728582866293,0,,0,False,9.374622504591347,,
mdb-755,Exo L'Assomption,CA,385,19363,241,39.0,1.0,0.014408924236946754,0.18411991087705085,declared,0.8275774762001216,1.0,0.014134491831365111,distance,16112,0.9578574975173784,0,,0,False,2.998952380952381,,
mdb-757,Réseau de transport de la Capitale,CA,4347,182521,407,44.0,1.0,0.020041529467842056,0.19054626795384977,not_declared,,,,,0,,0,,0,False,6.228594331555767,,
mdb-758,Metrobus Transit,CA,761,25481,224,51.0,1.0,0.013539500019622465,0.1457206005639814,declared,0.8670833015776237,1.0,0.014766634437901029,distance,15563,0.29711495213005207,0,,0,False,1.7008333333333332,,
mdb-759,Milton Transit,CA,502,11484,8,60.0,60.0,1.0,1.0,declared,0.8165178571428572,1.0,1.0,distance,0,,0,,0,False,6.5121107266435985,,
mdb-76,Fairfield and Suisun Transit (FAST Transit),US,178,55,2,300.0,,1.0,1.0,declared,0.6680206794682423,1.0,,distance,0,,0,,0,False,0.0,,
mdb-761,Port Alberni,CA,60,1911,3,60.0,60.0,1.0,1.0,declared,0.8599382080329557,1.0,1.0,distance,0,,0,,0,False,0.0,,
mdb-763,Société de transport de Lévis,CA,809,39244,318,35.0,1.0,0.020257873815105493,0.18111002921129504,declared,0.8348937657603676,1.0,0.01916866028708134,stopcount,32799,0.056739534741912866,0,,0,False,6.08318511580262,,
mdb-767,Prazska integrovana doprava (PID),CZ,33738,576162,45,60.0,60.0,1.0,1.0,not_declared,,,,,0,,0,,3,True,0.9462817008959242,1.3461538461538463,False
mdb-769,bodo Verkehrsverbund,HR,6594,114467,42,60.0,60.0,0.9978072282841343,0.9980210794902649,not_declared,,,,,0,,0,,2,True,0.957922197525222,1.4583333333333333,False
mdb-77,Placer County Transit,US,106,649,16,180.0,60.0,1.0,1.0,declared,0.5864106351550961,1.0,1.0,distance,0,,0,,0,False,,,
