feed_id,agency,country,fail_reason
jbda-kumanocity-communitybus,熊野市,JP,insufficient fixed-route bus service
jbda-kumanocity-shuyubus,熊野市,JP,insufficient fixed-route bus service
jbda-kunitachicity-kunikko,国立市,JP,insufficient fixed-route bus service
jbda-kuratetown-KurateTownSmileBusMiyawakaLine,鞍手町,JP,insufficient fixed-route bus service
jbda-kurobecity-ishida-aimoto,黒部市,JP,insufficient fixed-route bus service
jbda-kurobecity-shinkansenikujisen,黒部市,JP,insufficient fixed-route bus service
jbda-kuroishicity-kuroishi,黒石市,JP,insufficient fixed-route bus service
jbda-kuroiwa-kanko-GTFS-Kuroiwakanko_Localbus,有限会社黒岩観光,JP,insufficient fixed-route bus service
jbda-kushimoto-bus-kushimotokankoshuyu-wakayama-jp,くしもと観光周遊バス推進協議会（事務局：和歌山県立南紀熊野ジオパークセンター））,JP,insufficient fixed-route bus service
jbda-mamurogawatown-MamurogawaTown,真室川町,JP,insufficient fixed-route bus service
jbda-maniwacity-maniwakun,真庭市,JP,insufficient fixed-route bus service
jbda-manyosen-manyosen,万葉線,JP,insufficient fixed-route bus service
jbda-masudacity-noriai,益田市,JP,insufficient fixed-route bus service
jbda-matsudocity-matsudo,松戸市,JP,insufficient fixed-route bus service
jbda-matsushigetown-matsushigetownbus,松茂町,JP,insufficient fixed-route bus service
jbda-meikaijo-ship,名鉄海上観光船株式会社,JP,insufficient fixed-route bus service
jbda-mibutown-mibubu,壬生町,JP,insufficient fixed-route bus service
jbda-mie-meiwatown-chominbus,明和町,JP,insufficient fixed-route bus service
jbda-miharavillage-GTFS-Miharavill_Bus,三原村,JP,insufficient fixed-route bus service
jbda-minamichitatown-communitybus,南知多町,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-Iidacity-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-Matsukawa-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-Nanbu-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-Ooshika-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-achi-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-iida-2,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-seibu-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-takagi-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-takamori-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minamishinshu-Minamishinshu-toyooka-1,南信州地域交通問題協議会（南信州広域連合）,JP,insufficient fixed-route bus service
jbda-minobutown-furusekikaiiwamasen,身延町,JP,insufficient fixed-route bus service
jbda-misawacity-misawacity-mebus,三沢市,JP,insufficient fixed-route bus service
jbda-mitaketown-communitybus,御嵩町,JP,insufficient fixed-route bus service
jbda-miyamacity-MiyamaCityCommunityBus,みやま市,JP,insufficient fixed-route bus service
jbda-miyawakacity-MiyawakaMunakataLine,宮若市,JP,insufficient fixed-route bus service
jbda-mizuhotown-DemandResponsiveTransport,瑞穂町,JP,KeyError
jbda-mizunamicity-communitybus,瑞浪市,JP,insufficient fixed-route bus service
jbda-mogamigawakotsu-MOGAMIGAWAKOTSU,最上川交通,JP,insufficient fixed-route bus service
jbda-moriyamacity-kuruttobus,守山市,JP,insufficient fixed-route bus service
jbda-motomiyacity-motomiyashibus,本宮市,JP,insufficient fixed-route bus service
jbda-motosucity-shieibus,本巣市,JP,insufficient fixed-route bus service
jbda-motoyamatown-GTFS-Motoyamatown_Bus,本山町,JP,insufficient fixed-route bus service
jbda-munakatacity-MiyawakaMunakataLine,宗像市,JP,insufficient fixed-route bus service
jbda-munakatacity-MunakataCityJinoshimaFerry,宗像市,JP,insufficient fixed-route bus service
jbda-murayamacity-MurayamaCity,村山市,JP,insufficient fixed-route bus service
jbda-murotocity-GTFS-Murotocity_Bus,室戸市,JP,insufficient fixed-route bus service
jbda-nagahamacity-nishiazaiodekakewagon,長浜市,JP,insufficient fixed-route bus service
jbda-nagakutecity-communitybus,長久手市,JP,insufficient fixed-route bus service
jbda-nagano-kawakamivillage-kawakamibus,川上村,JP,insufficient fixed-route bus service
jbda-nagisotown-communitybus,南木曽町,JP,insufficient fixed-route bus service
jbda-nagitown-nagibus,奈義町,JP,insufficient fixed-route bus service
jbda-nakadomaritown-nakadomari-communitybus,中泊町,JP,insufficient fixed-route bus service
jbda-nakatosatown-GTFS-Nakatosatown_Bus,中土佐町,JP,insufficient fixed-route bus service
jbda-nakatown-nakatownbus,那賀町,JP,insufficient fixed-route bus service
jbda-nakatsucity-Yakata,中津市,JP,insufficient fixed-route bus service
jbda-nakatsugawacity-communitybus,中津川市,JP,insufficient fixed-route bus service
jbda-nakayamatown-NakayamaTown,中山町,JP,insufficient fixed-route bus service
jbda-namegatacity-bus-namegata-ibaraki-jp,行方市,JP,insufficient fixed-route bus service
jbda-namerikawacity-norumycar,滑川市,JP,insufficient fixed-route bus service
jbda-nanyocity-NanyoCity,南陽市,JP,insufficient fixed-route bus service
jbda-narutocity-narutocitychiikibus,鳴門市,JP,insufficient fixed-route bus service
jbda-nasutown-nasutown,那須町,JP,insufficient fixed-route bus service
jbda-ninomiyatown-Ninomiyatowncommunitybus,二宮町,JP,insufficient fixed-route bus service
jbda-nirasakicity-shiminbus,韮崎市,JP,insufficient fixed-route bus service
jbda-nishikawatown-NishikawaTown,西川町,JP,insufficient fixed-route bus service
jbda-nishinomiyacity-guruttonamaze,西宮市,JP,insufficient fixed-route bus service
jbda-nishinomiyacity-koyoen,西宮市,JP,insufficient fixed-route bus service
jbda-nishinomiyacity-najio-ikunokogen,西宮市,JP,insufficient fixed-route bus service
jbda-nishinomiyacity-sakurayamanami,西宮市,JP,insufficient fixed-route bus service
jbda-nishiocity-tosen,西尾市,JP,insufficient fixed-route bus service
jbda-nishiwakicity-loopbus-orihimebus,西脇市,JP,insufficient fixed-route bus service
jbda-nyuzentown-noranmaicar,入善町,JP,insufficient fixed-route bus service
jbda-obanazawacity-ObanazawaCity,尾花沢市,JP,insufficient fixed-route bus service
jbda-odaitown-choeibus,大台町,JP,insufficient fixed-route bus service
jbda-oetown-Oetown,大江町,JP,insufficient fixed-route bus service
jbda-ogasawaravillage-o,小笠原村,JP,insufficient fixed-route bus service
jbda-ohkuravillage-OhkuraVillage,大蔵村,JP,insufficient fixed-route bus service
jbda-oizumitown-kouikikoukyoubasuaozora,大泉町,JP,insufficient fixed-route bus service
jbda-okayacity-silkybus,岡谷市,JP,insufficient fixed-route bus service
jbda-okuwavillage-kuwachan-bus,大桑村,JP,insufficient fixed-route bus service
jbda-omachicity-omachiraicholiner,大町市,JP,insufficient fixed-route bus service
jbda-ongatown-OngaTownCommunityBus,遠賀町,JP,insufficient fixed-route bus service
jbda-otakivillage-otaki-village,王滝村,JP,insufficient fixed-route bus service
jbda-otamavillage-otamavillage-bus,大玉村,JP,insufficient fixed-route bus service
jbda-otsukitown-GTFS-Otsukitown_Bus,大月町,JP,insufficient fixed-route bus service
jbda-owanitown-owanitown-sunekarabus,大鰐町,JP,insufficient fixed-route bus service
jbda-owariasahicity-communitybus,尾張旭市,JP,insufficient fixed-route bus service
jbda-oyabecity-oyabecitybus,小矢部市,JP,insufficient fixed-route bus service
jbda-rittocity-rittoukurichanbus,栗東市,JP,insufficient fixed-route bus service
jbda-rokkashovillage-rokkasho-sharedtaxi,六ヶ所村,JP,insufficient fixed-route bus service
jbda-sagaecity-SagaeCity,寒河江市,JP,insufficient fixed-route bus service
jbda-saitamacity-iwatsukikucommunitybus,さいたま市,JP,insufficient fixed-route bus service
jbda-sakatacity-SakataCity,酒田市,JP,insufficient fixed-route bus service
jbda-sakawatown-GTFS-Sakawatown_Bus,佐川町,JP,insufficient fixed-route bus service
jbda-sakegawavillage-SakegawaVillage,鮭川村,JP,insufficient fixed-route bus service
jbda-samukawatown-mokusei-go_kuramiomuraroute,寒川町,JP,insufficient fixed-route bus service
jbda-sanjocity-guruttosan,三条市,JP,insufficient fixed-route bus service
jbda-sayotown-communitybus,佐用町,JP,insufficient fixed-route bus service
jbda-seikatsubus-yokkaichi-sbusyokkaichi,生活バス四日市,JP,insufficient fixed-route bus service
jbda-seisan-kanko-seisankanko_limousine,西讃観光,JP,insufficient fixed-route bus service
jbda-sekicity-itadorifureaibus,関市,JP,insufficient fixed-route bus service
jbda-sembokucity-bus-city-semboku,仙北市,JP,insufficient fixed-route bus service
